0,1,2,3,4,5,6,7
The Silo Hotel,"Hot List, 2018. Readers' Choice Awards, 2018. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021.",3,"With 360-degree views that encompass both Table Mountain and the nearby V&A Waterfront, the Silo stands out for its industrial-meets-global collector chic décor, and its ideal location—which also includes sitting atop the buzzy new Zeitz MOCAA, Cape Town’s Museum of Contemporary African Art. Bold artworks from the collection hang in the ground floor entrance and around the hotel; even if you don’t overnight here, you’ll want to stay for a meal at the bar or restaurant in the sixth-floor lobby.",[],"Cape Town, South Africa",https://www.cntraveler.com/hotels/cape-town/cape-town/the-silo-hotel,
Cape View Clifton,,3,"This former beach house, high above Clifton’s famous beaches, has five suites and two self-contained apartments. Think bleached wood, oversized sofas and armchairs in pale linen and cotton, cowrie shell treasure boxes and African beads and tribal sculptures. What you can see from the entrance does not prepare you for what is tucked neatly into five stories below street level. Original owner Jess Latimer transformed what was a family rental property into a chic lodge with a casual beach house aesthetic.",[],"Cape Town, South Africa",https://www.cntraveler.com/hotels/cape-town/cape-town/cape-view-clifton,
Cape Cadogan Boutique Hotel,"Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2022. Readers' Choice Awards, 2023.",3,"This elegant 15-room Georgian-era townhouse is tucked away in a residential street in Gardens, a fashionable, upbeat neighborhood known for its restaurants, bars, and interior design shops. Table Mountain forms a majestic backdrop, Lion’s Head beckons. From the outside, Cape Cadogan looks like a beautiful private home complete with crisp white paintwork, black shutters, manicured garden, and pool terrace. Step inside and you enter a world of Bohemian chic. It won’t be easy to find a smart room in such a brilliant location, as slickly managed, luxurious, or private at this price anywhere else in Cape Town.",[],"Cape Town, South Africa",https://www.cntraveler.com/hotels/south-africa/south-africa/cape-town/cape-cadogan-cape-town,
Kensington Place,,2,"It’s all about location with a capital-L at this ultra-smart little hotel on the edge of a wooded ravine in swanky Higgovale. Extremely private, behind high walls, yet surrounded by natural beauty—tantalizing glimpses of the sky, Table Mountain or Lion’s Head from every room—yet minutes from the city’s best restaurants, party hotspots, shops and beaches. The courtyard-style walled garden has a small pool, and a number of outdoor relaxation areas with sun loungers or cafe tables and chairs for dining. The air is fragrant with citrus thanks to the well-established lemon orchard. In this location with five-star service and designer interiors, you can’t go wrong.",[],"Cape Town, South Africa",https://www.cntraveler.com/hotels/south-africa/cape-town/kensington-place,
The Cellars-Hohenort,"Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2022. Readers' Choice Awards, 2023.",1,"Like many of the properties in the residential greenbelt in Constantia, the Cellars-Hohenort is set back from the road—with 10 acres of gardens—the pride and joy of the late Liz McGrath, hotelier and formidable businesswoman. On arrival, the overwhelming impression is of masses of space, immaculate lawns, and mature trees that have been growing for decades, if not centuries. The whitewashed buildings are immaculate, and the staff are waiting in the driveway to welcome you. This is a sophisticated country house hotel set in 10 acres of gardens. You could call it the best of both worlds—halfway between the city and Waterfront, and the beaches and natural beauty of the southern Peninsula.",[],"Cape Town, South Africa",https://www.cntraveler.com/hotels/cape-town/the-cellars-hohenort,
Ellerman House,"Gold List, 2019. Gold List, 2020. Readers' Choice Awards, 2018. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2022. Readers' Choice Awards, 2023.",2,"Twenty-six years on, Ellerman House is still everybody’s fantasy bolthole in Cape Town: minutes from the best beaches and the Table Mountain cableway, but close enough to the city and its dynamic food, art, and design scene. Sandwiched between Lion’s Head and the Atlantic Ocean, the Cape Edwardian mansion looks like a private residence from the road and that’s exactly what keeps guests coming back. Owner Paul Harris takes enormous pride in his country—his impressive collection of South African art spans original works from the turn of the last century to current contemporary art. An informal tour of the collection with one of the in-house art experts is a fascinating lesson in the country’s socio-political history. Then there are the 7,500 bottles of rare and vintage South African wines in the cellar, and the indigenous plants sourced from Kirstenbosch (Cape Town’s botanical garden) in the 1.5-acre terraced gardens. Besides the main house, there are two modern, minimalist private villas built into the granite mountainside, as well as a wine gallery, and an excellent little spa. ","['Start us off with an overview.\nFrom the road, Ellerman House looks like a grand, private residence (of which there are plenty in upscale Bantry Bay). Where many historic properties were demolished to make way for architecturally daring concrete-and-glass show homes, Ellerman House is an original Cape Edwardian mansion that dates back to 1906. Provenance and history is what sets it apart from other boutique hotels on the Atlantic Ocean. Over the years, owner Paul Harris has restored the old lady extensively, and transformed the one-and-a-half acre garden into an indigenous showpiece—like a little slice of \nKirstenbosch botanical gardens\n by the sea. Once through the security controlled front door of the main house, you descend the art-lined wooden staircase to the lower floor which leads through a series of elegant lounges to a deep, shaded veranda. This gives way to terraced lawns, a swimming pool and a sea view that you won’t easily forget.', 'What’s the crowd like?\nMany guests are regulars, many are British, especially those who return annually in the summer months. In winter, American and other foreign globetrotters, fresh from a five-star safari.', 'Now, onto the good stuff: Tell us about your room.\nI have stayed in one of the rooms at the top of the house with a balcony and a magnificent sea view. To fall asleep at night with the balcony doors wide open, listening to the crash of the surf on the shore far below, was sheer bliss. While the hotel bar is a glamorous spot for a sundowner drink, all I wanted to do was pour a glass of wine and watch the sun sink into the ocean in delicious solitude (Bantry Bay sunsets are epic, especially in winter). The room had the feel of a private guest bedroom with deep-pile carpets, antique furniture, books, compelling original artworks and expensive fabrics and crisp bedlinen. The en suite bathroom was spacious and bright. Each of the 13 rooms is completely different in character, but all are classically decorated in comparison to the two exclusive-use villas which have minimalist interiors in keeping with the contemporary design.', ""How about the little things, like the mini bar, or the shower goodies? Anything you'd like to shout out?\nThere are so many ‘wow’ factors here, but the extensive collection of original South African art dating back to the 19th century is unique. You could call this an art gallery with a hotel attached, as every room and all available wall space is hung with original and rare art from the Harris family’s private collection. The garden is a gallery for sculptures, and there’s even a contemporary art gallery below the swimming pool where an eclectic, thought-provoking collection is exhibited on a rotational basis throughout the year."", 'I also loved the walk-in ‘pantry’, stocked with sweet and savory treats and homemade snacks, including sweets, cookies, cakes, granola bars, roasted nuts and sandwiches. All drinks are included, except for wine and Champagne.', 'How about the food. Worth it?\nFood and wine are taken very seriously here. It’s all overseen by newly appointed food director Peter Templehoff, a Relais & Chateaux grand chef who also heads up his own restaurant, Fyn, in the city center. A new focus on wellness means that healthy, nourishing food is the rule, rather than the exception. That said, you can eat whatever you want. The chefs dream up seasonal menus of modern classics for lunch and dinner every day, always including healthy, plant-based options, because that’s how the owners like to eat, but you can also ask the chefs to prepare whatever you feel like eating. Wine pairings are considered suggestions by resident sommelier, Wayve, who oversees the impressive wine gallery, with temperature-controlled white, red and sparkling wine storage for 7,500 bottles. Don’t miss a private tasting in this subterranean space with its packed-earth terroir wall and inviting bar. Note that dining here is only for in-house guests, as the hotel is private and the restaurant is not open to the general public.', 'Was there any member of the staff that stood out in your mind, and if so, why?\n I’m not sure what the guest-to-staff ratio is here, but it feels as if you have your own member of staff personally taking care of you from the moment you arrive. GM Paul Bruce-Brand is a gracious host with a great sense of humor and an obvious love for South Africa.', 'Tell us what we missed.\n It’s worth taking a tour of the substantial art collection with in-house art guide Talita Swarts, who brings the paintings and sculptures to life with her quirky, often humorous details about the artists, their personal lives and the social contexts in which they lived and experienced life.', 'Bottom line: Worth it, and why?\n You’ll experience the very best of everything South Africa has to offer, from food and wine to art and the staggering natural beauty of mountain and ocean. It’s not hard to believe that some guests never leave the property.']","180 Kloof Rd, Cape Town 8005, South Africa",https://www.cntraveler.com/hotels/cape-town/ellerman-house,https://www.ellerman.co.za/
Gorgeous George,"Hot List, 2020.",1,"No matter what design wizardry unfolds inside Cape Town hotels, the superlative views of Table Mountain always end up stealing the show. But this quirky stay in the heart of the still-rough-around-the-edges Central Business District, gives visitors a fresh perspective. Thanks to its vantage point above the richly textured architecture of the city bowl, the windows look out over neoclassical landmarks, observing gabled Cape Dutch rooftops in conversation with Art Deco towers. It took six years for the owners to seamlessly renovate an Art Deco structure and its Edwardian neighbor, and given this mishmash of influences, the result is a hotel that could exist nowhere in the world but in the heart of the Mother City. Designer Tristan du Plessis imbued the interiors with a strong “local is lekker” sensibility, to borrow a popular South African catchphrase, which prizes things made close to home. In the lobby this means blue-and-white Delft tiles by Capetonian ceramist Lucie de Moyencourt that map out the neighborhood and South African brands like the plush leather sofas from Artifact (cushiness quotient: high). Gorgeous George lives up to its name— it’s just the kind of clever, design-centric hideaway that the area sorely lacked. —Sarah Khan","[""What's the backstory here?\nIt's an independent hotel, and took several years to come to life because it's the merging of two distinctive adjacent buildings—an Art Deco building and an Edwardian building— that took a long time to restore. I've had my eye on it since before I moved back to the States in 2016 from South Africa, and after many hiccups and delays, I'm excited it's finally here. And I lament the fact that it didn't exist when I lived here, because it's just the kind of original, design-focused, intimate hotel a design-obsessed city like \nCape Town\n needs and deserves, and is the only property taking advantage of the striking architecture and setting of the city's \nCentral Business District\n (CBD) in a creative, luxurious, chic way."", ""Why did this hotel catch your attention? What's the vibe?\nFirst, some context: I lived in the CBD, a block away from the hotel (I can see my old apartment building from my room's window), and I know the area well and love it. That being said, it can feel dicey after dark, which would not be a problem if you could get dropped off directly at the front door, as you can at the nearby \nTaj Hotel.\n But since St. George's Mall, where Gorgeous George is located, is a pedestrian street, the nearest drop-off point by car is half a block away—which, though it's just a matter of a few feet, did not feel optimal when I arrived from the airport at 11 p.m.. Knowing the area, I was prepared for this and called ahead to make sure someone would be able to come meet me at my Uber (they have doormen standing out front who keep an eye out for hotel visitors), but for a guest who might be unfamiliar with the area and arriving at night with lots of luggage (and not thinking they might need to call ahead), it can feel intimidating and is not the best first impression. I'm told they do have plans to have a more visible presence at the nearest curbside though, and they are aware of the concerns. The hotel entrance itself is discreet and easy to miss."", ""Once inside, though, there's a small reception area, with the standout being a beautiful map of the Cape Town city center done entirely in distinctive blue-and-white ceramic tiles by local artist Lucie de Moyencourt. The staff is friendly and warm. The elevator and floors are dimly lit and cozy, with bold floral carpeting from Moooi Carpets."", ""Tell us all about the accommodations.\nThere are 32 rooms spread out over four floors, and I'm in 208, a Studio room. It is spacious while still feeling cozy—super-high ceilings with industrial exposed pipes contrasted with warm colors and accents, like a plush burgundy couch, a round blue-and-white rug from Moooi Carpets reminiscent of Delft tiles, sumptuous bedding, and a rich leather headboard. Lucie de Moyencourt's tiles make another appearance in the rooms as the backsplash for the bar, where local wines and Amarula are stocked. There's an array of different light fixtures, all industrial inspired, including a cool pendant lamp suspended from the high ceiling to just above the nightstand. Despite being on the second floor in the center of town, I didn't really feel like noise was an issue, but earplugs are helpfully provided just in case. My view was directly into an office building and a KFC below, but if I looked to the left I could see the action at \nGreenmarket Square\n (and if I looked to the right, Adderley Street and my old highrise). The phone was a cute rotary situation and there's a retro-style Marshall radio, and the TV has Netflix included, which was nice."", 'That said, the bathroom was not optimally designed. It looks great, all gleaming white subway tiles, a fabulous rain shower, and marble topped vanity by famous local designer Gregor Jenkins (he also did the long, narrow desks in the bedrooms). But storage is limited, with not much room on the vanity and no drawers or shelves either by the sink or in the shower to put much of anything. The bath products, made for the hotel by the Scentuary, are lovely, with bright, herbaceous tones.', ""Is there a charge for Wi-Fi?\nGood Wi-Fi is often an issue in South Africa, but at Gorgeous George it's strong and ubiquitous."", 'Drinking and dining—what are we looking at?\nThere\'s one restaurant at Gorgeous George: Gigi, the indoor/outdoor rooftop space. Breakfast here is included, and ranges from avocado toasts and omelettes stuffed with pancetta, chili, and feta to decadent pancakes with berries and cream. The space is beautifully done: there\'s a lounge area with cozy mismatched furniture, lots of old volumes and new design books on the bookshelves, and knickknacks ranging from porcelain parrot-shaped candleholders to a giant buffalo skull. The indoor dining area, next to the wood-paneled bar, has blue-and-white-tiled tabletops that, upon closer inspection, are a whimsical sendup of the traditional Delft tiles found across the city. (Keep an eye out for modern-day vignettes on the tiles, like yoga poses and selfie-taking friends.) The crown jewel is the outdoor area, with a beautiful, if tiny pool, with one half in a covered area painted by artist David Britz, a lit-up sign that says ""Hello Gorgeous,"" colorful green/black/yellow stools, and pots and pots of plants in every corner, giving a nice lush environment while you\'re surrounded by the city skyline. It\'s promising to become quite the hangout for Capetonians and visitors alike, especially come summer. If this had been around when I lived next door, I would have been on the rooftop every single day.', ""And the service?\nPeople here are warm and helpful. I especially loved the staff at the restaurant, they're fun and friendly, and everyone I encountered at the front desk had a big smile and was lovely to interact with."", ""What type of travelers will you find here?\nMy first impression when I first saw the rooftop was that this is Cape Town's Soho House set—a hip, creative crowd that makes the glamorous setting look even more glamorous. It's also a bit more diverse than most places in Cape Town—though definitely not diverse enough, as the numbers while I was there still skewed 90 percent white. The actual hotel guests have to be a bit more savvy than the average tourist to have chosen to stay at a place like this, since most visitors tend to stay at the standard resorts and cookie cutter options at the touristy V&A Waterfront—if you've chosen to stay at a new, small boutique hotel in the heart of the CBD, you have to be cut from a different cloth than most visitors."", ""What about the neighborhood? Does the hotel fit in, make itself part of the scene?\nAs I've mentioned, I love the CBD, and often lamented that there weren't many great options for travelers to stay here—there's the Taj around the corner, which is nice but more of a business/luxury hotel model, and there are scores of backpackers and more basic options. But true luxury and high-design rooms taking advantage of the striking architecture that prevails in the CBD—it's about time! You're steps from everything here: touristy finds at \nGreenmarket Square\n, the rapidly evolving Buitenkant and Harrington streets just a few blocks east, the divey bars of Long Street, the chic boutiques and restaurants of Bree and Loop Streets. And now the rooftop of Gorgeous George itself is becoming a destination for locals popping by for lunch or late night drinks (or the soon-to-start Sunday brunch/DJ vibe), so staying here is a great way to mingle with the who's who of Cape Town."", ""Is there anything you'd change?\nAs I mentioned, the entrance situation feels iffy, especially if you're unaware of Cape Town and arriving late at night. It sounds like the hotel is very aware of this and has plans to make the arrival more clear-cut and secure, but guests should still be advised when they make a booking that they should call the hotel when they're on the way so the front desk can keep an eye out."", ""Any other hotel features worth noting?\nThere's no gym, but guests get a pass to go to the Ignite Fitness gym next door, which is huge and fully equipped and great. The rooftop pool is tiny but beautiful—more an Instagram-only kind of spot as opposed to anywhere you'd want to swim laps, but it's really distinctive."", ""Bottom line: Worth it? Why?\nYes, yes, yes. Finally there's a place to stay in the city's coolest neighborhood that does its architecture and design sensibility justice. No one should stay at the Waterfront again!""]","118 St Georges Mall, Cape Town 8000, South Africa",https://www.cntraveler.com/hotels/cape-town/gorgeous-george,https://www.gorgeousgeorge.co.za/
The Twelve Apostles Hotel and Spa,"Readers' Choice Awards, 2018. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2022.",2,"The coastal road between Camps Bay and Llandudno is a conservation area, so it’s undeveloped—just fynbos-covered mountains to one side, and the vast expanse of the Atlantic Ocean to the other. Until you round a curve in the road and catch your first glimpse of the Twelve Apostles, named after the Twelve Apostles mountain range that runs parallel to the coast, that is: Built into the contours of the mountainside, there’s a lot of hotel packed into its relatively small footprint. The rooms are flamboyant, old-school glamour, either facing the sea or the mountains.",[],"Cape Town, South Africa",https://www.cntraveler.com/hotels/south-africa/oudekraal/twelve-apostles-hotel-and-spa-cape-town,
"Mount Nelson, A Belmond Hotel, Cape Town","Readers' Choice Awards, 2018. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2023.",3,"A wide, palm-lined driveway leads past lush lawns and flower beds to the grand porticoed entrance. What sets this venerable hotel apart is its distinct sense of place and prime location in the historical heart of the city between Table Mountain and Company’s Gardens. Painted pink since 1918, the ‘Nellie’ is Cape Town’s grande dame dating back to 1899. The entire property has been meticulously restored and updated several times over the years to keep everything looking perfect. The Mount Nelson holds many trump cards, not least its historic location, unique garden setting, and old-school vibe. But what really sets this venerable hotel apart is its distinct sense of place—a tough act to follow for newer contenders in the luxury arena.",[],"Gardens, South Africa",https://www.cntraveler.com/hotels/south-africa/cape-town/mount-nelson-hotel-cape-town,
Labotessa,,2,"Labotessa has only six guest suites, two on each floor. They're all high ceilinged, generously sized, and elegantly decorated with French oak floors, petrol-blue walls, crisp white bed linens, jewel-toned velvet sofas, antiques, and commissioned art. Blue subway tiles, pale marble, and Diptyque products jazz up the tiny bathrooms. Above the suites is the Governor Suite, a two-story contemporary penthouse with three bedrooms, a large, open-plan kitchen for entertaining, and a plunge pool. This is the first small, luxuriously appointed, designer hotel in this part of the city, and its narrow townhouse architecture and historic square setting gives it an authentic European ambience—with the advantage of South African sunshine and [Lion’s Head](https://www.cntraveler.com/activities/cape-town/lions-head) views.","[""Why did this hotel catch your attention? What's the vibe?\nLabotessa is a narrow, tall, blue townhouse that wouldn’t look out of place in Amsterdam. The hotel is tucked away on historic Church Square, which is full of architectural landmarks, including the Dutch Reformed Groote Kerk. Sunset views are a bonus."", 'What type of travelers will you find here?\nYou don’t really see anyone else, thanks to private elevator access.', ""Tell us all about the accommodations. Any tips on what to book?\nThere are only six guest suites, two on each floor. They're all high ceilinged, generously sized, and elegantly decorated with French oak floors, petrol-blue walls, crisp white bed linens, jewel-toned velvet sofas, antiques, and commissioned art. Blue subway tiles, pale marble, and Diptyque products jazz up the tiny bathrooms. Above the suites is the Governor Suite, a two-story contemporary penthouse with three bedrooms, a large, open-plan kitchen for entertaining, and a plunge pool."", 'Drinking and dining—what are we looking at?\nBreakfast is served in Starlings Cafe, an all-day restaurant with a well-established following in suburban Claremont, thanks to its breakfast bowls and organic food. Try a fresh veggie juice, a fruit bowl topped with homemade granola, honey and yogurt, or a pastry.', ""Any other hotel features worth noting?\nIt's breakfast only here, but the hotel is around the corner from Fyn, a restaurant that's earned a cult following for its boundary-pushing Japanese-South African tasting menus."", 'Bottom line: Worth it? Why?\nThis is the first small, luxuriously appointed, designer hotel in this part of the city, and its narrow townhouse architecture and historic square setting gives it an authentic European ambience—with the advantage of South African sunshine and \nLion’s Head\n views.']","5 Church Square, 37 Parliament St, Cape Town 8000, South Africa",https://www.cntraveler.com/hotels/cape-town/labotessa,https://labotessa.com/
